                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.10786,                0.71429,                      1,                0.22843,             0.00023683,             0.00023683,             0.00023683
                      2,                0.04173,                0.72727,                      1,                0.22097,             0.00047013,             0.00047013,             0.00047013
                      3,                0.03242,                0.74026,                      1,                 0.2182,             0.00069872,             0.00069872,             0.00069872
                      4,                0.02819,                0.68831,                      1,                0.22473,             0.00069279,             0.00069279,             0.00069279
                      5,                0.01879,                0.79221,                      1,                0.20347,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01693,                0.72727,                      1,                0.22207,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01425,                0.79221,                      1,                0.20996,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01107,                0.76623,                      1,                0.21975,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00997,                0.75325,                      1,                0.21645,             0.00066452,             0.00066452,             0.00066452
                     10,                 0.0078,                0.79221,                      1,                0.20923,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00954,                0.79221,                      1,                0.20575,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00988,                0.80519,                      1,                0.20707,             0.00064331,             0.00064331,             0.00064331
                     13,                0.01069,                0.79221,                      1,                0.20829,             0.00063625,             0.00063625,             0.00063625
                     14,                0.01001,                0.76623,                      1,                0.21794,             0.00062918,             0.00062918,             0.00062918
                     15,                0.01118,                0.81818,                      1,                0.19794,             0.00062211,             0.00062211,             0.00062211
                     16,                0.01298,                0.79221,                      1,                0.20795,             0.00061504,             0.00061504,             0.00061504
                     17,                0.01099,                0.74026,                      1,                 0.2157,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00894,                0.79221,                      1,                0.20229,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00707,                0.80519,                      1,                0.20227,             0.00059383,             0.00059383,             0.00059383
                     20,                0.01077,                0.76623,                      1,                0.21206,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00711,                0.80519,                      1,                0.19647,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00776,                0.81818,                      1,                0.19792,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00704,                0.84416,                      1,                0.18848,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00672,                0.84416,                      1,                0.19063,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00648,                0.80519,                      1,                0.19788,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00712,                0.85714,                      1,                 0.1897,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00684,                0.81818,                      1,                0.19486,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00612,                0.83117,                      1,                0.18842,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00658,                0.85714,                      1,                0.18473,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00683,                0.84416,                      1,                 0.1913,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00616,                0.85714,                      1,                0.18949,             0.00050901,             0.00050901,             0.00050901
                     32,                 0.0072,                0.81818,                      1,                0.19525,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00652,                0.83117,                      1,                0.18793,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00675,                0.81818,                      1,                0.19419,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00613,                0.83117,                      1,                0.19531,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00588,                0.84416,                      1,                0.19059,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00621,                0.81818,                      1,                0.19432,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00626,                0.84416,                      1,                 0.1913,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00582,                0.84416,                      1,                0.18557,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00597,                0.85714,                      1,                0.18679,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00635,                0.84416,                      1,                 0.1851,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00583,                0.80519,                      1,                0.20009,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00591,                0.80519,                      1,                0.20443,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00558,                0.79221,                      1,                0.20416,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00639,                0.80519,                      1,                0.19924,             0.00041005,             0.00041005,             0.00041005
                     46,                 0.0072,                0.83117,                      1,                0.19448,             0.00040298,             0.00040298,             0.00040298
                     47,                0.01146,                0.79221,                      1,                0.20758,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00783,                0.79221,                      1,                0.20732,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00859,                0.76623,                      1,                0.21824,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00712,                0.79221,                      1,                0.21464,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00664,                0.77922,                      1,                0.20612,             0.00036764,             0.00036764,             0.00036764
                     52,                  0.006,                0.77922,                      1,                0.20652,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00591,                0.76623,                      1,                0.21566,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00597,                0.81818,                      1,                0.19535,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00649,                0.80519,                      1,                0.20148,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00618,                0.77922,                      1,                0.20829,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00595,                0.77922,                      1,                0.21132,             0.00032523,             0.00032523,             0.00032523
                     58,                0.00544,                0.77922,                      1,                0.21106,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00599,                0.84416,                      1,                0.19635,             0.00031109,             0.00031109,             0.00031109
                     60,                0.00541,                0.77922,                      1,                0.20353,             0.00030402,             0.00030402,             0.00030402
